passage_id,question,passage,has_answer
1997_554_16,Czy Kościół może sprzedawać swoje mienie?,"Kościelnym osobom prawnym przysługuje prawo nabywania, posiadania i zbywania
mienia ruchomego i nieruchomego, nabywania i zbywania innych praw 
majątkowych oraz swobodnego zarządzania swoim majątkiem.",True
2004_866_7,Czy Kościół może sprzedawać swoje mienie?,"1. Depozyt
ulegający łatwemu zepsuciu przechowujący depozyt jest obowiązany niezwłocznie
sprzedać z wolnej ręki. 
2. Depozyt,
którego przechowywanie byłoby związane z kosztami nie­współmiernie wysokimi w
stosunku do jego wartości lub nadmiernymi trudnościami albo powodowałoby
znaczne obniżenie jego wartości, sąd, na wniosek przechowującego depozyt,
postanowi sprzedać według przepisów ustawy z dnia 17 listopada 1964 r. – Kodeks
postępowania cywilnego (Dz. U. Nr 43, poz. 296, z późn. zm.[2]))
o egzekucji z ruchomości.
3. Wniosek, o
którym mowa w ust. 2, rozpoznaje sąd rejonowy właściwy ze względu na miejsce
złożenia depozytu, stosując odpowiednio przepisy ustawy z dnia 17 listopada
1964 r. - Kodeks postępowania cywilnego o postępowaniu nieprocesowym. 
4. Na
postanowienie sądu przysługuje zażalenie.
5. Suma uzyskana
ze sprzedaży wchodzi w miejsce depozytu, po potrąceniu kosztów sprzedaży.",False
2004_959_1035,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"Pracownik podnoszący kwalifikacje zawodowe:
1) który bez
uzasadnionych przyczyn nie podejmie podnoszenia kwalifikacji zawodowych albo
przerwie podnoszenie tych kwalifikacji,
2) z którym
pracodawca rozwiąże stosunek pracy bez wypowiedzenia z jego winy, w trakcie
podnoszenia kwalifikacji zawodowych lub po jego ukończeniu, w terminie określonym
w umowie, o której mowa w art. 1034, nie dłuższym niż 3 lata,
3) który w
okresie wskazanym w pkt 2 rozwiąże stosunek pracy za wypowiedzeniem, z
wyjątkiem wypowiedzenia umowy o pracę z przyczyn określonych w art. 943,
4) który w
okresie wskazanym w pkt 2 rozwiąże stosunek pracy bez wypowiedzenia na
podstawie art. 55 lub art. 943, mimo braku przyczyn określonych w
tych przepisach
- jest obowiązany do zwrotu kosztów
poniesionych przez pracodawcę na ten cel z tytułu dodatkowych świadczeń, w
wysokości proporcjonalnej do okresu zatrudnienia po ukończeniu podnoszenia
kwalifikacji zawodowych lub okresu zatrudnienia w czasie ich podnoszenia.",False
1995_1_6,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"1. Do zadań kierownika rejonowego urzędu pracy należy w szczególności:
   1) udzielanie pomocy bezrobotnym i innym osobom poszukującym pracy 
     w znalezieniu pracy, a także pracodawcom w pozyskiwaniu pracowników,
   2) podejmowanie działań zmierzających do zapobiegania negatywnym skutkom
     zwolnień z pracy oraz do łagodzenia tych skutków, a zwłaszcza 
     pozyskiwania odpowiednich miejsc pracy, oraz organizowanie szkolenia,
   3) rejestrowanie bezrobotnych i innych osób poszukujących pracy, przedstawianie
     im propozycji zatrudnienia lub propozycji szkolenia, propozycji
     prac interwencyjnych i robót publicznych, a w razie braku takich 
     możliwości wypłacanie uprawnionym zasiłków,
   4) inicjowanie i finansowanie szkoleń,
   5) inicjowanie tworzenia dodatkowych miejsc pracy oraz udzielanie pomocy
     bezrobotnym w podejmowaniu działalności na własny rachunek,
   6) inicjowanie i finansowanie:
       a) prac interwencyjnych,
       b) robót publicznych,
       c) zatrudnienia absolwentów,
   7) prowadzenie poradnictwa zawodowego oraz informacji zawodowej dla 
     bezrobotnych i innych osób poszukujących pracy,
   8) wykonywanie kontroli w zakresie przestrzegania przepisów ustawy,
   9) refundowanie wynagrodzeń i składek na ubezpieczenie społeczne młodocianych
     pracowników, zatrudnionych na podstawie umowy o pracę w 
     celu przygotowania zawodowego,
  10) finansowanie dodatków i premii przysługujących pracownikom za wykonywanie
     obowiązków opiekunów praktyk uczniowskich,
  11) wydawanie biletów kredytowych osobom skierowanym do pracy poza 
     miejsce stałego zamieszkania,
  12) współdziałanie z rejonowymi radami zatrudnienia w zakresie przeciwdziałania
     negatywnym skutkom bezrobocia, a w szczególności przy rozdziale
     środków finansowych z Funduszu Pracy,
  13) inicjowanie i wspieranie działalności klubów pracy,
  14) realizacja programów specjalnych.
 2. Kierownik rejonowego urzędu pracy wydaje decyzje o:
   1) uznaniu lub odmowie uznania danej osoby za bezrobotną oraz o utracie
     statusu osoby bezrobotnej,
   2) przyznaniu, odmowie przyznania, wstrzymaniu, wznowieniu wypłaty 
     oraz utracie prawa do zasiłku lub zasiłku szkoleniowego,
   3) obowiązku zwrotu przez bezrobotnego nienależnie pobranego zasiłku, 
     zasiłku szkoleniowego lub kosztów szkolenia,
   4) odroczeniu zwrotu lub rozłożeniu na raty nienależnie pobranego świadczenia,
   5) umorzeniu części pożyczki udzielonej z Funduszu Pracy.",False
2001_1070_82,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"§1. Sędzia jest obowiązany postępować zgodnie ze ślubowaniem sędziowskim oraz
     stale podnosić kwalifikacje zawodowe.
 §2. Sędzia powinien w służbie i poza służbą strzec powagi stanowiska sędziego
     i unikać wszystkiego, co mogłoby przynieść ujmę godności sędziego lub
     osłabiać zaufanie do jego bezstronności.
 §3. Minister Sprawiedliwości, po zasięgnięciu opinii Krajowej Rady
     Sądownictwa, może określić, w drodze rozporządzenia, szczegółowe zasady i
     tryb kształcenia sędziów.",False
1996_113_44,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"1. Zorganizowane zajęcia w zakresie wychowania fizycznego, sportu i rekreacji
   ruchowej mogą prowadzić tylko osoby posiadające kwalifikacje zawodowe
   nauczyciela wychowania fizycznego, trenera, instruktora lub uprawnienia
   w tym zakresie określone odrębnymi przepisami.
 2. Kształcenie osób, o których mowa w ust. 1, przez jednostki inne niż szkoły 
   wyższe i zakłady kształcenia nauczycieli wymaga zgody Prezesa Urzędu 
   Kultury Fizycznej i Turystyki.
 3. Prezes Urzędu Kultury Fizycznej i Turystyki określa, w drodze zarządzenia,
   kwalifikacje, stopnie i tytuły zawodowe w dziedzinie kultury fizycznej 
   oraz zasady i tryb ich uzyskiwania.",False
1995_1_15,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"1. Rejonowy urząd pracy inicjuje szkolenie bezrobotnych w celu zwiększenia 
   ich szans na uzyskanie zatrudnienia, podwyższenia dotychczasowych kwalifikacji
   zawodowych lub zwiększenia aktywności zawodowej, a w szczególności
   w razie:
   1) braku kwalifikacji zawodowych,
   2) konieczności zmiany kwalifikacji w związku z brakiem propozycji odpowiedniego
     zatrudnienia,
   3) utraty zdolności do wykonywania pracy w dotychczas wykonywanym 
     zawodzie.
 2. Rejonowy urząd pracy kieruje bezrobotnego na wskazane przez niego 
   szkolenie, jeżeli zostanie uprawdopodobnione, że szkolenie to zapewni 
   uzyskanie pracy, koszt tego szkolenia nie przekroczy dwukrotnego przeciętnego
   wynagrodzenia, a także spełniony jest przynajmniej jeden z warunków,
   o których mowa w ust. 1.
 3. Szkolenie powinno trwać nie dłużej niż 6 miesięcy, a w przypadkach uzasadnionych
   programem szkolenia w danym zawodzie, nie dłużej niż 12 
   miesięcy.
 4. Skierowanie na szkolenie może być poprzedzone określeniem przez doradcę
   zawodowego rejonowego urzędu pracy predyspozycji bezrobotnego do 
   wykonywania zawodu, który uzyska w wyniku szkolenia, oraz, w uzasadnionych
   przypadkach, skierowaniem na specjalistyczne badania lekarskie.
 5. Na wniosek pracodawcy, który zatrudnia co najmniej 50 pracowników, rejonowy
   urząd pracy, po zasięgnięciu opinii rejonowej rady zatrudnienia, 
   może zrefundować z Funduszu Pracy koszty szkolenia pracowników, do 
   wysokości 50%, nie więcej jednak niż do wysokości przeciętnego wynagrodzenia
   na jedną osobę, jeżeli po ukończeniu szkolenia zostaną zatrudnieni 
   zgodnie z kierunkiem odbytego szkolenia przez tego pracodawcę na innych
   stanowiskach pracy przez okres co najmniej 12 miesięcy.
 6. Pracodawca, który nie spełnił warunku, o którym mowa w ust. 5, obowiązany
   jest do zwrotu kosztów szkolenia finansowanych ze środków Funduszu
   Pracy.",False
2001_1071_10,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"Kuratorowi zawodowemu przysługuje prawo do podnoszenia kwalifikacji zawodowych w
różnych formach kształcenia.",True
1997_753_21,Czy kurator zawodowy może podnosić kwalifikacje zawodowe tylko w konkretnej formie kształcenia?,"§ 1. Sędzia sądu wojskowego jest obowiązany postępować zgodnie ze ślubowaniem
    sędziowskim oraz stale podnosić kwalifikacje zawodowe.
§ 2. Sędzia sądu wojskowego powinien w służbie i poza służbą strzec powagi 
    stanowiska sędziowskiego i unikać wszystkiego, co mogłoby przynieść ujmę
    godności sędziego lub osłabiać zaufanie do jego bezstronności. 
§ 3. W okresie zajmowania stanowiska sędzia sądu wojskowego nie może należeć
    do partii politycznych ani brać udziału w żadnej działalności politycznej.",False
1995_446_6,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"Minister Rolnictwa i Gospodarki Żywnościowej, w porozumieniu z Ministrem 
Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa, określi, w drodze 
rozporządzenia, wykaz organizmów szkodliwych podlegających obowiązkowi 
zwalczania.
                               Rozdział 3
  Przywóz, wywóz i przewóz roślin, produktów roślinnych i przedmiotów",False
2001_452_4,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"1. Zwierzęta utrzymywane w ekologicznym gospodarstwie rolnym, z zastrzeżeniem
  ust. 2 i 3, mogą pochodzić tylko z ekologicznych gospodarstw rolnych.
2. Przy powiększaniu stada zwierząt do 10% klaczy i krów oraz do 20% owiec, kóz
  i loch może pochodzić spoza ekologicznego gospodarstwa rolnego.
3. Dopuszcza się, aby samce pochodziły spoza ekologicznego gospodarstwa
  rolnego.
4. W rozrodzie zwierząt zabrania się używania zarodków.",False
2001_452_9,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"1. W prowadzeniu produkcji zwierzęcej metodami ekologicznymi zabronione jest
  profilaktyczne stosowanie leków weterynaryjnych.
2. Dopuszcza się:
   1) zastosowanie leków weterynaryjnych w razie konieczności ratowania życia
     zwierzęcia lub ulżenia w cierpieniu; okres karencji zastosowany  dla
     pozyskiwanych surowców zwierzęcych jest w tym przypadku dwukrotnie dłuższy
     niż podany przez producenta leku, a zwierzęta tak leczone znakuje się
     odpowiednio,
   2) stosowanie profilaktyczne i lecznicze środków leczniczych pochodzenia
     ziołowego i preparatów homeopatycznych,
   3) stosowanie kwasu mrówkowego, kwasu mlekowego i kwasu octowego oraz olejku
     mentolowego, tymolowego, eukaliptusowego lub kamforowego w przypadku
     zakażenia pszczół Varroa jacobsoni.
3. Zwierzętom zapewnia się, stosownie do wymogów gatunku, odpowiednią
  powierzchnię do przebywania w pomieszczeniach budynków inwentarskich oraz
  dostęp do wybiegów i pastwisk.
4. Co najmniej na połowie powierzchni podłogi w budynkach inwentarskich powinna
  znajdować się ściółka z zapewnionymi miejscami do leżenia.
5. Tucz prowadzi się z zapewnieniem dostępu do otwartej przestrzeni; tucz w
  ostatniej fazie może odbywać się w pomieszczeniach, z tym że faza ta nie
  powinna trwać dłużej niż 1/5 okresu życia zwierzęcia.
6. Zabronione jest prowadzenie tuczu w boksach lub klatkach oraz usuwanie
  rogów, zębów, kształtowanie dziobów i stosowanie innych metod narażających
  zwierzęta na nieuzasadnione cierpienie. Czynności te, za zgodą upoważnionej
  jednostki certyfikującej, mogą być wykonane wyłącznie dla poprawy zdrowia
  zwierząt lub ze względów sanitarnych.
7. Dopuszcza się przeprowadzanie zabiegów kastracyjnych w przypadkach
  uzasadnionych względami chowu danego gatunku.
8. Zabronione jest wymuszone karmienie zwierząt podczas tuczu.",False
1997_724_17,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"1. Do tresury i pokazów dla celów widowiskowo-rozrywkowych mogą być 
   wykorzystywane tylko zwierzęta urodzone i wychowane w niewoli i tylko 
   takie, którym mogą być zapewnione warunki egzystencji stosowne do potrzeb
   danego gatunku.
 2. Tresura zwierząt dla celów widowiskowo-rozrywkowych i obronnych może 
   być prowadzona tylko przez osobę posiadającą odpowiednie kwalifikacje 
   zawodowe, w sposób nie powodujący cierpienia zwierzęcia.
 3. Nie wolno prowadzić tresury zwierząt wyłącznie w celu zwiększenia ich 
   agresywności.
 4. Zabrania się zmuszania zwierząt do wykonywania czynności, które powodują
   ból lub są sprzeczne z ich naturą.
 5. Zabrania się działalności menażerii objazdowych.
 6. Zabrania się propagowania lub upowszechniania drastycznych scen zabijania,
   zadawania cierpienia lub innej przemocy, ze strony człowieka, której 
   ofiarami są zwierzęta, chyba że sceny te mają na celu napiętnowanie okrutnego
   zachowania wobec zwierząt.
 7. Do zwierząt, o których mowa w ust. 2, stosuje się odpowiednio przepisy 
   art. 9.
 8. Minister Rolnictwa i Gospodarki Żywnościowej w porozumieniu z Ministrem
   Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa określi, w 
   drodze rozporządzenia, szczegółowe warunki utrzymywania poszczególnych
   gatunków zwierząt wykorzystywanych do celów rozrywkowych, widowiskowych,
   filmowych, sportowych i specjalnych.
 9. Minister Rolnictwa i Gospodarki Żywnościowej określi, w drodze rozporządzenia,
   tryb i szczegółowe warunki nadawania uprawnień osobom, o 
   których mowa w ust. 2.",False
2000_1250_10,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"1. Przedsiębiorca jest obowiązany, przed złożeniem wniosku o wydanie
  zezwolenia indywidualnego, upewnić się w szczególności, czy:
   1) końcowy użytkownik ma zamiar wykorzystać uzbrojenie do łamania lub
     tłumienia praw człowieka i podstawowych swobód,
   2) dostawa uzbrojenia będzie stanowić zagrożenie dla pokoju lub w inny
     sposób przyczyni się do zakłócenia stabilizacji w regionie,
   3) kraj końcowego przeznaczenia popiera, ułatwia lub zachęca do terroryzmu
     lub przestępczości międzynarodowej,
   4) uzbrojenie może być użyte w innym celu niż do zaspokojenia uzasadnionych
     potrzeb obrony i bezpieczeństwa państwa odbiorcy.
2. W celu realizacji obowiązku, o którym mowa w ust. 1, przedsiębiorca jest
  obowiązany utworzyć i stosować wewnętrzny system kontroli i zarządzania
  obrotem towarami o znaczeniu strategicznym, zwany dalej ""wewnętrznym systemem
  kontroli"".
3. W przypadku, gdy przedsiębiorca, przy zachowaniu najwyższej staranności,
  nie jest w stanie ustalić czy nie występują okoliczności, o których mowa w
  ust. 1, może zwrócić się do organu kontroli obrotu o wiążące wyjaśnienie w
  tej sprawie. Organ kontroli obrotu jest obowiązany udzielić wiążącego
  wyjaśnienia, w terminie 3 miesięcy od dnia złożenia wniosku. W uzasadnionych
  przypadkach termin ten może zostać przedłużony do 6 miesięcy.",False
1997_724_23,Czy można zwalczać zwierzęta stanowiące zagrożenie dla gospodarki człowieka?,"1. Zwierzęta, które stanowią zagrożenie dla życia, zdrowia lub gospodarki 
   człowieka, mogą być zwalczane.
 2. Ministrowie: Rolnictwa i Gospodarki Żywnościowej, Zdrowia i Opieki Społecznej
   oraz Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa, po 
   zasięgnięciu opinii Państwowej Rady Ochrony Przyrody, Towarzystwa 
   Opieki nad Zwierzętami w Polsce oraz Polskiego Związku Łowieckiego, 
   określą, w drodze rozporządzenia, warunki, czas i sposoby zwalczania 
   zwierząt, o których mowa w ust. 1.
 
                               Rozdział 7
                           Transport zwierząt",True
1997_555_199,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","Złożone wobec biegłego albo wobec lekarza udzielającego pomocy medycznej 
oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, nie mogą stanowić
dowodu.",True
1997_555_182,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","§ 1. Osoba najbliższa dla oskarżonego może odmówić zeznań.
 § 2. Prawo odmowy zeznań trwa mimo ustania małżeństwa lub przysposobienia.
 § 3. Prawo odmowy zeznań przysługuje także świadkowi, który w innej toczącej
     się sprawie jest oskarżony o współudział w przestępstwie objętym 
     postępowaniem.",False
1997_555_394,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","§ 1. Dane dotyczące osoby oskarżonego oraz wyniki wywiadu środowiskowego
     uznaje się za ujawnione bez odczytywania. Należy je jednak odczytać
     na żądanie oskarżonego lub obrońcy.
 § 2. Inne podlegające odczytaniu dokumenty można uznać bez ich odczytywania
     za ujawnione w całości lub w części, jeżeli obecne na rozprawie 
     strony zgodnie o to wnoszą. Przewodniczący informuje wówczas o treści 
     tych dokumentów.",False
1997_555_5,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","§ 1. Oskarżonego uważa się za niewinnego, dopóki wina jego nie zostanie 
     udowodniona i stwierdzona prawomocnym orzeczeniem sądu.
 § 2. Nie dające się usunąć wątpliwości rozstrzyga się na korzyść oskarżonego.",False
1997_555_487,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","Akt oskarżenia może ograniczyć się do oznaczenia osoby oskarżonego, zarzucanego
mu czynu oraz wskazania dowodów, na których opiera się oskarżenie.",False
1997_555_386,"Czy oświadczenia oskarżonego, dotyczące zarzucanego mu czynu, złożone biegłemu, mogą stanowić dowód?","§ 1. Po odczytaniu aktu oskarżenia przewodniczący poucza oskarżonego o 
     prawie składania wyjaśnień, odmowy wyjaśnień lub odpowiedzi na pytania,
     po czym pyta go, czy przyznaje się do zarzucanego mu czynu 
     oraz czy chce złożyć wyjaśnienia i jakie.
 § 2. Po przesłuchaniu oskarżonego przewodniczący poucza go o prawie zadawania
     pytań osobom przesłuchiwanym oraz składania wyjaśnień co 
     do każdego dowodu.",False
2001_1409_23,Czy rejestr znaków identyfikacyjnych producentów butelek miarowych musi zawierać NIP producenta?,"1. Producent przed rozpoczęciem produkcji butelek miarowych jest obowiązany
  zgłosić Prezesowi Głównego Urzędu Miar znak służący do identyfikacji
  producenta.
2. Znak identyfikacyjny producenta powinien posiadać indywidualne cechy
  graficzne pozwalające jednoznacznie odróżnić go od zarejestrowanych już
  znaków identyfikacyjnych innych producentów.
3. Każdy producent jest obowiązany umieszczać na produkowanych przez siebie
  butelkach miarowych spełniających wymagania niniejszej ustawy znak
  identyfikacyjny producenta.",False
2001_1409_25,Czy rejestr znaków identyfikacyjnych producentów butelek miarowych musi zawierać NIP producenta?,"1. Prezes Głównego Urzędu Miar dokonuje wpisu znaku identyfikacyjnego
  producenta do rejestru w terminie 14 dni od dnia otrzymania zgłoszenia.
  Zgłoszenie winno zawierać dane, o których mowa w art. 24 ust. 2, aktualny
  wypis z Krajowego Rejestru Sądowego i 5 egzemplarzy wzoru znaku o wymiarach
  nie większych niż 5 cm x 5 cm.
2. Prezes Głównego Urzędu Miar odmawia wpisu w przypadku, gdy znak zgłoszony
  przez producenta jest identyczny ze znakiem już wcześniej wpisanym do
  rejestru.
3. Prezes Głównego Urzędu Miar jest obowiązany wydać pisemne zaświadczenie o
  wpisie znaku identyfikacyjnego do rejestru w terminie 14 dni od dnia
  dokonania wpisu.
4. W przypadku gdy zgłoszony przez producenta wniosek posiada braki formalne
  lub znak identyfikacyjny producenta nie posiada indywidualnych cech
  graficznych pozwalających jednoznacznie odróżnić go od wpisanych już do
  rejestru znaków identyfikacyjnych innych producentów, co może wprowadzać w
  błąd co do tożsamości producenta butelek miarowych, Prezes Głównego Urzędu
  Miar zawiadamia o powyższym wnioskodawcę w terminie 14 dni od dnia otrzymania
  zgłoszenia oraz wzywa go do usunięcia braków formalnych lub do zmiany znaku w
  terminie nie dłuższym niż 30 dni od dnia otrzymania zawiadomienia.
5. Jeżeli w wyznaczonym terminie producent nie uzupełni wniosku lub nie
  przedstawi innego znaku identyfikacyjnego, Prezes Głównego Urzędu Miar
  pozostawia sprawę bez rozpoznania, informując o powyższym wnioskodawcę.
6. Odmowa wpisu następuje w formie decyzji administracyjnej.",False
2001_1409_24,Czy rejestr znaków identyfikacyjnych producentów butelek miarowych musi zawierać NIP producenta?,"1. Prezes Głównego Urzędu Miar prowadzi jawny rejestr znaków identyfikacyjnych
  producentów butelek miarowych, zwany dalej ""rejestrem"".
2. Rejestr powinien zawierać:
   1) oznaczenie producenta,
   2) siedzibę i adres,
   3) numer, pod którym producent został zarejestrowany w Krajowym Rejestrze
     Sądowym,
   4) symbol graficzny stanowiący znak identyfikacyjny producenta.",True
